               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               6.297,              44.694,              6.0286,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0829,              0.0019,              0.0019
                   1,              6.3918,              28.309,              6.2552,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.064861,           0.0038614,           0.0038614
                   2,              5.1858,              34.552,              5.4864,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.046783,           0.0057832,           0.0057832
                   3,              6.2287,              40.112,              6.3311,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028665,           0.0076654,           0.0076654
                   4,              5.6997,              29.849,              6.1743,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010508,            0.009508,            0.009508
                   5,              5.4737,              34.395,              5.8047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   6,              6.5715,              33.602,              5.8269,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              5.5465,              29.288,               5.502,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              5.7605,              20.802,              5.8483,          0.00033333,            0.095238,          0.00064562,          6.4562e-05,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              5.6684,              19.636,              5.6326,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              6.0368,              28.886,              5.5673,            0.060743,            0.047619,            0.023978,           0.0024473,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              5.3612,              16.055,              5.7859,            0.029944,            0.095238,           0.0060591,           0.0021801,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              5.6803,              17.286,              5.5589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              5.1366,              20.802,              5.0459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              5.4873,              14.938,              5.2282,            0.021008,             0.14286,            0.020353,           0.0023317,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              5.2144,              18.531,              5.2435,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              5.2604,              13.428,              5.1904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              4.4643,              9.6964,              5.2156,          0.00068131,             0.19048,           0.0023068,          0.00075247,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              4.2375,              9.3997,              4.8609,           0.0034105,             0.90476,             0.20324,            0.062753,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              4.5237,              10.399,              4.4962,             0.24786,             0.42857,             0.32611,            0.085784,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              4.2834,              10.372,              4.2732,             0.30601,             0.47619,             0.39618,             0.11644,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              3.9837,              8.4552,              4.3552,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              4.0648,              7.9072,              4.1873,           0.0020055,             0.52381,           0.0044259,           0.0006777,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
