               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  42,              2.2894,              1.9944,              2.8008,              0.9236,             0.95447,             0.97961,              0.5841,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.4193,              4.5854,              2.4864,             0.72025,             0.81579,             0.88293,               0.483,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.9415,              2.3214,              2.4165,             0.85687,             0.94533,             0.94273,             0.63855,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,               2.155,              2.2845,              2.3928,             0.85499,             0.94737,             0.91908,             0.47444,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.0057,              1.9452,              2.3153,             0.91401,             0.83921,             0.95532,             0.60677,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.1142,              2.0338,              2.0464,                   1,             0.88942,             0.98859,             0.51093,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.0223,              1.8556,              2.4183,             0.95325,             0.94737,             0.98864,             0.57421,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.2805,              1.6864,              2.2048,             0.94826,             0.96472,             0.98417,             0.61539,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.7853,              1.5452,              2.1264,             0.94425,                   1,             0.99449,             0.70826,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.8884,               1.444,              2.3211,             0.97236,             0.92602,             0.96953,             0.49252,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.8812,              1.3498,              1.7928,             0.94143,             0.84609,             0.97869,             0.46519,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,               1.866,              1.5359,              2.2761,              0.9944,                   1,               0.995,              0.6895,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.7746,              1.7199,              2.0914,             0.99667,                   1,               0.995,              0.6659,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,                1.64,              1.4105,              2.2344,             0.99552,                   1,               0.995,             0.67598,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.6992,               1.201,              1.7731,             0.99648,                   1,               0.995,             0.74038,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.6549,              1.2799,              2.0823,             0.99706,                   1,               0.995,             0.79532,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.7253,              1.3675,              2.0115,             0.99738,                   1,               0.995,              0.7306,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,               1.742,              1.1998,              1.8546,              0.9965,                   1,               0.995,             0.74975,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.6301,               1.196,              1.8925,             0.99636,                   1,               0.995,             0.63685,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.4457,              1.1288,              1.7744,                   1,             0.83288,             0.94693,             0.63786,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.5308,               1.144,              1.7982,             0.99365,                   1,               0.995,             0.70582,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.6081,              1.2531,              2.0545,             0.99481,                   1,               0.995,             0.78914,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,               1.515,              1.0053,              1.7078,             0.99807,                   1,               0.995,              0.8281,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.4466,              1.0905,              1.8155,             0.99835,                   1,               0.995,             0.76268,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.2489,               1.013,              1.4706,             0.99808,                   1,               0.995,             0.82787,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.4729,             0.99631,              1.7241,             0.99788,                   1,               0.995,             0.87273,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.3663,             0.96112,              1.5553,             0.99806,                   1,               0.995,             0.78553,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.3443,              0.9901,              1.4736,             0.99821,                   1,               0.995,             0.84457,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.5603,               1.023,              1.6992,             0.99844,                   1,               0.995,             0.85427,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.3137,             0.93853,              1.4886,             0.99773,                   1,               0.995,             0.79711,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
