               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.5014,              56.409,              5.9487,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070638,           0.0032624,           0.0032624
                   1,              4.8255,              55.695,              4.7323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040573,           0.0065304,           0.0065304
                   2,              6.3619,              39.503,              5.3618,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010442,           0.0097325,           0.0097325
                   3,              5.0022,              35.219,              4.6757,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              5.5491,              28.272,              5.0369,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              5.2965,              20.962,              4.5485,            0.033589,             0.29268,            0.017846,           0.0054552,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              4.2981,                14.9,               3.992,             0.19811,             0.02439,             0.08241,            0.022502,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              4.2165,              9.3467,              4.1861,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              4.0941,              6.9091,              4.1644,            0.017283,             0.31707,            0.040677,           0.0079515,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,               3.833,              5.4327,              4.0292,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.1822,               7.119,              3.5279,               0.001,             0.14634,           0.0011397,          0.00024725,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,               3.362,              3.7077,              3.5446,             0.81852,             0.73171,             0.82217,             0.32926,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.9253,               2.653,              3.2097,             0.64159,             0.65498,             0.66752,             0.39616,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.8349,              2.3623,              2.9535,             0.75014,             0.65854,             0.79974,             0.29595,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
